close,high,low,trade_count,open,time,volume,vwap,symbol
29676.79,29682.29,28707.56,29639,29255.71,2021-01-01 06:00:00+00:00,848.87403,29316.4446253671,BTC/USD
33769.52,34200.0,29555.99,60152,29678.34,2021-01-02 06:00:00+00:00,2144.592516,31941.4126941485,BTC/USD
32908.02,34812.93,32300.61,58725,33769.52,2021-01-03 06:00:00+00:00,1838.695433,33505.2694743146,BTC/USD
30441.57,33496.03,27900.0,69226,32907.36,2021-01-04 06:00:00+00:00,2711.189503,31267.9651212849,BTC/USD
35063.0,35851.42,29927.55,61880,30461.84,2021-01-05 06:00:00+00:00,1756.751333,33151.367357435,BTC/USD
37485.27,37810.0,33700.0,65199,35088.23,2021-01-06 06:00:00+00:00,1897.568734,35720.8257623383,BTC/USD
38009.79,40410.02,35936.73,71413,37486.29,2021-01-07 06:00:00+00:00,2710.620043,38472.947353316,BTC/USD
39379.24,41999.0,37595.44,75991,38018.16,2021-01-08 06:00:00+00:00,2199.033127,40360.7053809145,BTC/USD
40547.42,41446.85,38789.12,48582,39301.47,2021-01-09 06:00:00+00:00,1133.603814,40539.8998452685,BTC/USD
34860.75,41150.0,33550.0,86949,40544.78,2021-01-10 06:00:00+00:00,2961.388435,37212.3525958163,BTC/USD
35892.58,36357.78,30365.5,87384,34883.83,2021-01-11 06:00:00+00:00,3881.031504,33212.9555519558,BTC/USD
33284.02,36610.52,32357.25,50604,35894.6,2021-01-12 06:00:00+00:00,2034.619943,34297.4111917937,BTC/USD
37546.57,38181.93,33160.88,40059,33284.04,2021-01-13 06:00:00+00:00,1929.205192,36015.5417091478,BTC/USD
37800.02,40100.0,37460.29,44296,37549.9,2021-01-14 06:00:00+00:00,1282.270458,38915.8477255186,BTC/USD
35859.45,38745.3,34362.01,60017,37800.02,2021-01-15 06:00:00+00:00,1604.522965,36425.7469747331,BTC/USD
35562.63,37954.56,35370.0,39218,35865.83,2021-01-16 06:00:00+00:00,902.572116,36598.4210029095,BTC/USD
35349.37,36846.47,33850.0,42277,35558.07,2021-01-17 06:00:00+00:00,883.104108,35366.998907141,BTC/USD
36312.15,37434.5,35069.0,39735,35341.8,2021-01-18 06:00:00+00:00,824.678591,36441.8224072149,BTC/USD
35505.69,37866.15,34779.05,40583,36310.33,2021-01-19 06:00:00+00:00,972.825907,36460.0254787249,BTC/USD
34569.16,35942.45,33433.2,47808,35505.69,2021-01-20 06:00:00+00:00,1008.849125,34702.3845290783,BTC/USD
31795.0,34997.39,28951.58,59444,34569.19,2021-01-21 06:00:00+00:00,3123.308189,31209.4890407082,BTC/USD
33384.16,33868.4,30444.19,29527,31824.6,2021-01-22 06:00:00+00:00,1036.631931,32386.6623369003,BTC/USD
32872.34,33490.65,31418.57,16527,33397.09,2021-01-23 06:00:00+00:00,539.931189,32295.9264613691,BTC/USD
33324.95,33809.56,30950.03,19663,32894.73,2021-01-24 06:00:00+00:00,680.291359,32357.4026120559,BTC/USD
32097.0,34888.0,31421.89,30365,33350.0,2021-01-25 06:00:00+00:00,831.863898,33221.8352800401,BTC/USD
31548.05,32968.54,30852.0,38710,32080.13,2021-01-26 06:00:00+00:00,722.496795,31917.0838405603,BTC/USD
31778.65,32010.0,29256.82,55651,31553.56,2021-01-27 06:00:00+00:00,1583.715237,30695.3851616367,BTC/USD
33045.47,34400.0,30840.9,57765,31794.12,2021-01-28 06:00:00+00:00,1510.908261,32993.1854724404,BTC/USD
33517.18,38673.14,31977.13,84881,33055.88,2021-01-29 06:00:00+00:00,2694.9827,35658.5751865803,BTC/USD
33761.43,34836.61,33143.57,27302,33517.18,2021-01-30 06:00:00+00:00,728.078992,34080.9319294976,BTC/USD
33787.13,34219.1,32200.0,38182,33773.39,2021-01-31 06:00:00+00:00,806.918374,33109.9199200823,BTC/USD
34009.33,34707.6,33136.11,33983,33787.67,2021-02-01 06:00:00+00:00,959.144331,33855.9906033151,BTC/USD
36510.08,36916.24,33954.16,41032,34027.73,2021-02-02 06:00:00+00:00,1091.302183,35385.1568917138,BTC/USD
37646.6,38431.27,35561.35,47786,36506.68,2021-02-03 06:00:00+00:00,1120.459803,37171.8727806135,BTC/USD
37108.52,38747.61,36182.22,62831,37634.49,2021-02-04 06:00:00+00:00,1591.085136,37463.575276583,BTC/USD
39051.0,39699.95,37070.01,55838,37102.75,2021-02-05 06:00:00+00:00,1153.670297,38439.0877929464,BTC/USD
38571.85,41019.93,38000.0,63997,39054.2,2021-02-06 06:00:00+00:00,1238.672877,39759.6085362744,BTC/USD
38700.0,39736.17,37383.51,46244,38565.36,2021-02-07 06:00:00+00:00,932.225474,38455.8146087919,BTC/USD
46964.37,47500.0,38658.96,91292,38712.8,2021-02-08 06:00:00+00:00,2876.161989,44010.7643101578,BTC/USD
46166.35,48203.13,45040.0,59671,46957.6,2021-02-09 06:00:00+00:00,1420.610386,46688.8856975675,BTC/USD
44675.1,47371.09,43750.0,75486,46168.8,2021-02-10 06:00:00+00:00,1361.970634,45149.5100956754,BTC/USD
47289.12,48969.45,44444.48,74578,44697.12,2021-02-11 06:00:00+00:00,1765.386034,47523.8885871809,BTC/USD
47960.94,48224.1,46231.52,47008,47289.12,2021-02-12 06:00:00+00:00,934.058092,47576.8770363007,BTC/USD
48938.82,48997.7,46285.0,50609,47960.94,2021-02-13 06:00:00+00:00,804.437966,47401.9828129884,BTC/USD
46773.29,49730.0,45691.42,58594,48942.87,2021-02-14 06:00:00+00:00,1209.900633,48092.3803525264,BTC/USD
